ID,MENO,PRIEZVISKO,VEK,POHLAVIE
11432,John,Doe,51,Man
11433,Sam,Jones,47,Man
11434,Emma,Johnson,18,Man
11435,Jane,Taylor,31,Man
11436,Anna,Garcia,43,Woman
11437,John,Johnson,50,Man
11438,John,Garcia,26,Woman
11439,Linda,Taylor,35,Man
11440,John,Lee,56,Woman
11441,Mike,Smith,19,Woman
11442,Emma,Brown,33,Man
11443,Lucy,Smith,59,Woman
11444,Tom,Johnson,39,Man
11445,Sam,Brown,58,Woman
11446,Sam,Taylor,57,Woman
11447,Linda,Smith,49,Woman
11448,Anna,Martinez,55,Man
11449,Jane,Jones,20,Man
11450,Linda,Johnson,38,Man
11451,Emma,Lee,55,Woman
11452,Tom,Lee,27,Man
11453,Sam,Doe,35,Man
11454,Emma,Jones,50,Woman
11455,Linda,Martinez,33,Man
11456,Emma,Doe,29,Woman
11457,Linda,Johnson,52,Woman
11458,Anna,White,25,Woman
11459,Anna,Lee,37,Woman
11460,Emma,Johnson,32,Man
11461,Jane,Jones,37,Man
11462,Jane,Martinez,21,Woman
11463,Sam,Martinez,32,Man
11464,Linda,Garcia,46,Woman
11465,Chris,Johnson,33,Man
11466,Linda,Brown,39,Woman
11467,Emma,Brown,34,Man
11468,Lucy,Taylor,29,Man
11469,Tom,Garcia,19,Woman
11470,Emma,Johnson,55,Man
11471,John,Smith,35,Man
11472,Sam,Jones,49,Man
11473,Mike,Doe,55,Man
11474,Tom,Johnson,59,Woman
11475,Emma,Jones,39,Man
11476,Sam,Garcia,44,Woman
11477,Mike,Garcia,52,Woman
11478,John,Brown,19,Man
11479,Linda,Doe,26,Man
11480,Anna,Martinez,34,Man
11481,John,Doe,33,Woman
11482,Linda,Martinez,45,Woman
11483,Tom,White,56,Woman
11484,Emma,White,50,Man
11485,Linda,Lee,28,Woman
11486,Mike,Taylor,22,Man
11487,Tom,Johnson,29,Woman
11488,Sam,Garcia,39,Woman
11489,Mike,White,37,Woman
11490,Linda,Smith,26,Man
11491,Anna,Doe,43,Man
11492,Chris,Smith,55,Woman
11493,Mike,Lee,29,Woman
11494,Sam,Jones,31,Woman
11495,Lucy,Doe,30,Woman
11496,Lucy,Lee,32,Man
11497,Sam,Lee,47,Man
11498,Mike,Taylor,29,Man
11499,Sam,Garcia,57,Man
11500,Sam,Lee,59,Woman
11501,Chris,Taylor,56,Woman
11502,Mike,White,36,Woman
11503,Jane,Lee,52,Man
11504,Emma,Johnson,57,Woman
11505,Linda,Johnson,38,Man
11506,Sam,Doe,44,Woman
11507,Mike,Jones,24,Man
11508,Jane,Jones,38,Woman
11509,Linda,Garcia,29,Woman
11510,Tom,White,41,Man
11511,Mike,White,51,Woman
11512,Sam,Brown,44,Man
11513,Emma,Brown,49,Man
11514,Jane,Taylor,35,Man
11515,Sam,Doe,25,Man
11516,Anna,Lee,27,Woman
11517,Lucy,White,24,Woman
11518,Anna,Taylor,60,Man
11519,Jane,Lee,44,Man
11520,Linda,Garcia,21,Woman
11521,Sam,Lee,23,Man
11522,Mike,Jones,18,Man
11523,Sam,Garcia,55,Man
11524,Chris,Doe,46,Man
11525,Linda,Johnson,31,Man
11526,Emma,Garcia,35,Man
11527,Lucy,Jones,27,Man
11528,Tom,Johnson,18,Man
11529,Emma,Lee,54,Woman
11530,Linda,Jones,50,Woman
11531,Lucy,Martinez,37,Woman
11532,Mike,Taylor,52,Woman
11533,Linda,Doe,47,Man
11534,Linda,Jones,36,Man
11535,Anna,White,58,Man
11536,Anna,Martinez,21,Woman
11537,Mike,Martinez,56,Woman
11538,Anna,Jones,40,Man
11539,John,Lee,49,Woman
11540,Mike,Brown,54,Woman
11541,John,White,36,Man
11542,Lucy,Jones,42,Woman
11543,Tom,Martinez,57,Woman
11544,Lucy,White,49,Woman
11545,Chris,Jones,29,Man
11546,Sam,Jones,21,Woman
11547,John,Garcia,19,Woman
11548,Sam,White,49,Man
11549,Lucy,Jones,57,Man
11550,John,White,47,Man
11551,Jane,Taylor,49,Woman
11552,John,Doe,34,Woman
11553,Linda,Smith,34,Man
11554,Mike,Martinez,44,Woman
11555,Jane,Lee,33,Man
11556,Chris,Brown,43,Man
11557,Sam,Taylor,45,Man
11558,Chris,Taylor,51,Man
11559,Tom,Martinez,57,Man
11560,Chris,Martinez,56,Man
11561,Emma,Doe,28,Woman
11562,Jane,Garcia,26,Man
11563,Anna,Taylor,43,Woman
11564,Linda,Smith,31,Man
11565,Tom,Smith,30,Man
11566,Chris,Doe,54,Man
11567,Anna,Doe,55,Woman
11568,Anna,White,21,Woman
11569,Linda,Johnson,51,Woman
11570,Mike,White,43,Man
11571,John,Garcia,60,Man
11572,Anna,Taylor,42,Woman
11573,John,Brown,20,Man
11574,Linda,Johnson,49,Woman
11575,Emma,Lee,25,Man
11576,John,Lee,24,Man
11577,Linda,Lee,36,Woman
11578,Anna,Martinez,47,Woman
11579,Mike,Brown,39,Man
11580,Emma,Jones,28,Woman
11581,Lucy,Smith,60,Man
11582,Mike,Smith,42,Woman
11583,Sam,Doe,37,Man
11584,Sam,White,35,Woman
11585,Anna,Taylor,19,Woman
11586,Chris,Brown,45,Man
11587,Linda,White,26,Man
11588,Linda,Brown,43,Woman
11589,Mike,Taylor,36,Woman
11590,John,Johnson,39,Man
11591,Anna,Martinez,56,Woman
11592,Linda,Jones,24,Woman
11593,Mike,Johnson,58,Woman
11594,Linda,Taylor,46,Man
11595,Anna,Brown,59,Man
11596,Emma,Martinez,32,Woman
11597,Chris,Jones,25,Woman
11598,Tom,Taylor,32,Man
11599,Chris,Martinez,25,Woman
11600,John,Brown,26,Man
11601,John,Smith,35,Man
11602,Emma,Johnson,35,Man
11603,John,Johnson,32,Man
11604,Linda,Smith,30,Woman
11605,Linda,Brown,55,Woman
11606,John,Jones,44,Man
11607,Jane,Johnson,45,Woman
11608,Mike,Garcia,29,Man
11609,Tom,Lee,20,Woman
11610,Lucy,Martinez,48,Man
11611,Mike,Johnson,35,Woman
11612,Linda,Johnson,31,Man
11613,Mike,Smith,52,Man
11614,Tom,Brown,48,Woman
11615,Lucy,Doe,18,Woman
11616,Sam,Doe,21,Woman
11617,Mike,Doe,54,Man
11618,Jane,White,54,Man
11619,Jane,Martinez,53,Man
11620,Emma,Doe,49,Woman
11621,Anna,Smith,27,Man
11622,Anna,Martinez,43,Woman
11623,Jane,Lee,43,Woman
11624,Mike,Smith,18,Man
11625,Lucy,Lee,42,Woman
11626,Mike,Martinez,51,Woman
11627,Linda,Martinez,44,Man
11628,Mike,Taylor,32,Woman
11629,Tom,White,26,Man
11630,Linda,Garcia,36,Woman
11631,Lucy,Lee,38,Man
11632,Chris,Johnson,56,Woman
11633,John,Brown,32,Man
11634,Emma,Garcia,50,Man
11635,Chris,Taylor,18,Man
11636,Sam,Martinez,46,Man
11637,John,Jones,43,Man
11638,Tom,Jones,43,Man
11639,Emma,Johnson,42,Woman
11640,Tom,Garcia,24,Man
11641,Linda,Garcia,29,Man
11642,Lucy,White,32,Woman
11643,Mike,Garcia,25,Woman
11644,John,Brown,21,Woman
11645,Chris,Brown,28,Man
11646,Linda,Taylor,59,Woman
11647,Lucy,Jones,44,Woman
11648,Emma,Smith,50,Man
11649,Mike,Brown,23,Man
11650,Mike,White,44,Man
11651,Sam,Taylor,41,Man
11652,Chris,Brown,32,Man
11653,Linda,White,44,Woman
11654,Sam,Johnson,39,Man
11655,Jane,Martinez,29,Man
11656,Tom,White,48,Man
11657,Jane,Taylor,35,Woman
11658,Sam,Smith,26,Man
11659,Lucy,Lee,49,Man
11660,John,Doe,50,Woman
11661,Jane,Brown,26,Man
11662,Jane,Lee,42,Man
11663,Tom,Taylor,42,Woman
11664,Mike,Lee,44,Man
11665,Chris,Brown,56,Woman
11666,Tom,Garcia,56,Man
11667,John,Smith,24,Man
11668,Tom,Smith,21,Man
11669,Linda,Martinez,59,Man
11670,Lucy,Smith,40,Woman
11671,Sam,Johnson,52,Man
11672,Chris,White,56,Man
11673,John,Martinez,25,Woman
11674,Lucy,Martinez,59,Man
11675,Sam,White,48,Man
11676,Mike,Lee,33,Woman
11677,Jane,Johnson,19,Man
11678,Sam,Doe,25,Man
11679,Mike,Jones,38,Woman
11680,Sam,Garcia,34,Woman
11681,Jane,Johnson,36,Woman
11682,Chris,Brown,47,Man
11683,Jane,Lee,30,Man
11684,John,Smith,27,Man
11685,Tom,Taylor,19,Man
11686,Sam,Brown,55,Man
11687,Sam,Jones,49,Man
11688,Emma,Martinez,57,Woman
11689,Chris,Taylor,33,Woman
11690,Anna,Johnson,34,Woman
11691,Mike,Smith,29,Woman
11692,Linda,Garcia,30,Man
11693,Linda,Smith,44,Woman
11694,Sam,Martinez,29,Man
11695,Mike,Johnson,47,Man
11696,Lucy,White,50,Man
11697,Anna,Taylor,18,Woman
11698,Linda,Johnson,18,Woman
11699,Mike,Jones,45,Man
11700,Sam,Lee,35,Man
11701,Chris,Johnson,20,Man
11702,Lucy,Martinez,59,Woman
11703,Emma,Doe,60,Woman
11704,Jane,Brown,19,Man
11705,Mike,White,38,Woman
11706,Linda,Lee,48,Woman
11707,Mike,Garcia,32,Woman
11708,Linda,Brown,44,Man
11709,Anna,Lee,53,Man
11710,Tom,Doe,22,Man
11711,Emma,Lee,58,Man
11712,Tom,Garcia,58,Woman
11713,Linda,Smith,57,Man
11714,Anna,Garcia,57,Woman
11715,Lucy,Johnson,47,Woman
11716,Chris,Brown,44,Man
11717,Mike,Johnson,25,Woman
11718,Chris,Brown,22,Woman
11719,Linda,Brown,18,Man
11720,Emma,Martinez,29,Man
11721,Anna,Johnson,54,Man
11722,Jane,Lee,24,Woman
11723,Jane,Jones,27,Woman
11724,Jane,Smith,40,Woman
11725,Mike,Lee,44,Man
11726,Mike,Garcia,19,Man
11727,Jane,Taylor,49,Man
11728,Anna,Johnson,42,Woman
11729,Emma,Garcia,42,Man
11730,Chris,Smith,27,Man
11731,Lucy,Jones,41,Woman
11732,Tom,Smith,49,Woman
11733,John,Doe,43,Woman
11734,Emma,Taylor,19,Woman
11735,Chris,Brown,40,Woman
11736,Mike,White,35,Man
11737,Jane,Jones,38,Man
11738,Sam,Johnson,25,Woman
11739,Linda,Smith,59,Man
11740,Linda,Martinez,31,Man
11741,Emma,Martinez,43,Woman
11742,Sam,Johnson,28,Man
11743,Lucy,Jones,20,Woman
11744,Tom,Taylor,23,Woman
11745,Lucy,Brown,18,Woman
11746,Emma,Doe,25,Woman
11747,Anna,Lee,42,Man
11748,Linda,Jones,28,Woman
11749,Linda,Jones,31,Man
11750,John,Lee,47,Man
11751,Emma,White,28,Man
11752,John,Jones,33,Man
11753,John,Brown,45,Woman
11754,Lucy,Smith,20,Man
11755,Linda,Johnson,57,Man
11756,Emma,Lee,40,Woman
11757,Tom,Johnson,37,Man
11758,Chris,Johnson,39,Woman
11759,Jane,Lee,23,Woman
11760,Chris,Taylor,54,Woman
11761,Linda,Taylor,37,Man
11762,Chris,Smith,51,Man
11763,Emma,Doe,40,Woman
11764,Chris,Brown,36,Woman
11765,Tom,Johnson,19,Man
11766,Lucy,Garcia,36,Woman
11767,Emma,Lee,56,Woman
11768,Mike,Johnson,59,Man
11769,Anna,Garcia,46,Woman
11770,Anna,Doe,22,Woman
11771,Mike,White,49,Woman
11772,Anna,White,42,Woman
11773,Tom,White,48,Woman
11774,Linda,Brown,28,Woman
11775,Jane,Smith,44,Man
11776,Tom,Martinez,46,Man
11777,Chris,Brown,55,Woman
11778,Mike,Brown,33,Woman
11779,Lucy,Lee,46,Man
11780,Sam,Brown,20,Man
11781,Chris,White,22,Woman
11782,Tom,Jones,46,Woman
11783,Chris,Lee,24,Woman
11784,Emma,Lee,49,Man
11785,Tom,Jones,57,Man
11786,Mike,Smith,25,Man
11787,Chris,White,23,Man
11788,Chris,Garcia,19,Woman
11789,Jane,Johnson,50,Man
11790,Mike,Garcia,32,Woman
11791,Lucy,Jones,28,Woman
11792,Mike,Taylor,47,Woman
11793,Lucy,Jones,39,Man
11794,Linda,Doe,25,Man
11795,John,Martinez,22,Man
11796,John,Smith,28,Woman
11797,Jane,Taylor,41,Man
11798,Emma,Doe,19,Man
11799,Anna,Taylor,57,Man
11800,Linda,Martinez,24,Woman
11801,Mike,Taylor,42,Man
11802,Tom,Taylor,42,Woman
11803,Linda,Johnson,33,Man
11804,Chris,Lee,23,Man
11805,John,Smith,48,Man
11806,Emma,Lee,30,Man
11807,Emma,Brown,30,Man
11808,Tom,White,48,Woman
11809,Anna,Johnson,36,Man
11810,Tom,Garcia,53,Man
11811,John,Doe,41,Man
11812,Chris,Jones,51,Woman
11813,Tom,White,37,Woman
11814,Anna,Brown,51,Man
11815,Emma,Jones,54,Woman
11816,John,Johnson,34,Woman
11817,Linda,Garcia,46,Man
11818,Emma,Martinez,38,Man
11819,John,Martinez,27,Man
11820,Linda,Brown,60,Man
11821,John,White,24,Woman
11822,Emma,Doe,40,Man
11823,Sam,Smith,53,Man
11824,Sam,Jones,35,Man
11825,Mike,Johnson,55,Woman
11826,John,Doe,40,Man
11827,Chris,Taylor,27,Woman
11828,Lucy,Doe,18,Man
11829,Emma,Taylor,42,Man
11830,Lucy,Johnson,46,Woman
11831,Sam,Taylor,41,Man
11832,John,Lee,39,Man
11833,Emma,Garcia,39,Man
11834,Anna,Jones,49,Woman
11835,Lucy,Brown,35,Man
11836,John,White,48,Man
11837,Anna,Taylor,53,Man
11838,John,Doe,45,Man
11839,Linda,Martinez,59,Man
11840,Linda,Lee,53,Woman
11841,Tom,Lee,46,Man
11842,John,White,48,Man
11843,Anna,Garcia,53,Woman
11844,Lucy,Doe,54,Woman
11845,Anna,Jones,44,Woman
11846,Tom,Taylor,18,Man
11847,Emma,Garcia,19,Woman
11848,Anna,Lee,33,Woman
11849,Sam,Doe,43,Woman
11850,Lucy,Lee,38,Man
11851,Emma,White,30,Woman
11852,Jane,Taylor,50,Woman
11853,Jane,Doe,34,Woman
11854,Sam,Garcia,39,Man
11855,Tom,Johnson,18,Man
11856,Tom,Taylor,32,Man
11857,Anna,Garcia,26,Man
11858,Tom,Doe,36,Man
11859,Lucy,Garcia,24,Woman
11860,Sam,Doe,19,Woman
11861,Mike,Garcia,53,Man
11862,Chris,Garcia,23,Woman
11863,John,Martinez,38,Woman
11864,Chris,Taylor,53,Woman
11865,Tom,Taylor,34,Man
11866,Jane,Smith,50,Man
11867,Mike,Jones,21,Man
11868,Emma,Martinez,50,Man
11869,Anna,Garcia,28,Man
11870,Chris,Jones,34,Woman
11871,Anna,Johnson,30,Woman
11872,John,Smith,20,Man
11873,Anna,Martinez,39,Woman
11874,Chris,Jones,18,Woman
11875,Chris,Doe,51,Man
11876,Emma,Doe,46,Woman
11877,Mike,Johnson,30,Man
11878,Chris,Martinez,23,Woman
11879,John,Taylor,21,Woman
11880,Linda,Smith,50,Woman
11881,Tom,Garcia,38,Woman
11882,Anna,Taylor,27,Man
11883,John,Jones,43,Man
11884,Jane,Johnson,26,Man
11885,Mike,White,50,Woman
11886,Mike,White,56,Woman
11887,Jane,Jones,48,Woman
11888,Anna,Lee,31,Man
11889,Lucy,Garcia,33,Man
11890,Chris,Martinez,40,Man
11891,Chris,Jones,33,Woman
11892,Jane,Brown,47,Woman
11893,Sam,Garcia,30,Man
11894,Anna,Jones,50,Woman
11895,Jane,Jones,33,Man
11896,John,Johnson,36,Woman
11897,Linda,White,21,Woman
11898,Linda,Lee,19,Man
11899,Lucy,Johnson,25,Man
11900,Mike,Garcia,40,Man
11901,John,Taylor,45,Woman
11902,John,Doe,50,Woman
11903,Jane,Brown,22,Man
11904,Linda,Taylor,31,Woman
11905,Mike,Jones,47,Woman
11906,Chris,Lee,49,Woman
11907,Linda,Garcia,36,Man
11908,Linda,Garcia,48,Man
11909,Sam,Martinez,21,Woman
11910,Chris,Jones,52,Woman
11911,Emma,Jones,36,Woman
11912,Linda,Garcia,40,Woman
11913,Lucy,White,39,Woman
11914,Jane,Garcia,27,Man
11915,Emma,White,27,Woman
11916,Jane,Martinez,30,Man
11917,Anna,Jones,49,Man
11918,Linda,Doe,32,Woman
11919,John,Jones,49,Woman
11920,John,Smith,18,Woman
11921,Anna,Garcia,29,Man
11922,Sam,White,55,Man
11923,Anna,Smith,55,Woman
11924,Chris,Taylor,39,Man
11925,Sam,Brown,38,Woman
11926,Lucy,Smith,46,Woman
11927,Anna,Smith,23,Woman
11928,Sam,Johnson,21,Woman
11929,Emma,White,26,Woman
11930,Lucy,Jones,51,Man
11931,Anna,Smith,58,Woman
11932,Linda,Martinez,18,Man
11933,Sam,Garcia,33,Man
11934,John,Garcia,54,Man
11935,Sam,Johnson,56,Woman
11936,Sam,Garcia,31,Man
11937,Jane,Jones,41,Man
11938,Mike,Taylor,33,Woman
11939,Lucy,Smith,27,Woman
11940,Lucy,Garcia,38,Woman
11941,Tom,Garcia,53,Woman
11942,Sam,Lee,59,Man
11943,Anna,Johnson,60,Man
11944,Linda,White,26,Man
11945,Linda,Doe,55,Man
11946,Linda,Brown,57,Woman
11947,John,Johnson,32,Man
11948,Tom,Garcia,59,Man
11949,Anna,Smith,43,Man
11950,Anna,Doe,36,Man
11951,Jane,Garcia,23,Man
11952,Emma,Martinez,34,Woman
11953,Sam,Garcia,42,Woman
11954,John,Doe,53,Woman
11955,Tom,Taylor,55,Man
11956,Linda,Brown,32,Woman
11957,Chris,Johnson,24,Woman
11958,Emma,White,60,Woman
11959,Emma,Taylor,36,Woman
11960,Chris,Doe,30,Woman
11961,Lucy,Lee,49,Woman
11962,Lucy,Brown,57,Man
11963,Sam,Smith,45,Man
11964,Jane,Taylor,40,Woman
11965,Anna,Brown,33,Woman
11966,Tom,Brown,46,Man
11967,Emma,Johnson,59,Woman
11968,Anna,Johnson,50,Man
11969,Linda,Jones,45,Man
11970,Jane,Doe,44,Man
11971,Anna,Lee,60,Woman
11972,Anna,Lee,31,Woman
11973,Emma,Smith,60,Woman
11974,John,Doe,33,Man
11975,Sam,Doe,54,Woman
11976,Chris,White,46,Woman
11977,Mike,Smith,25,Woman
11978,Tom,Brown,23,Man
11979,Tom,Johnson,31,Man
11980,Anna,Doe,29,Woman
11981,Sam,Garcia,31,Man
11982,Linda,Martinez,31,Man
11983,Jane,Taylor,33,Woman
11984,Mike,Lee,22,Woman
11985,Tom,Brown,20,Man
11986,Mike,Johnson,49,Woman
11987,Sam,Brown,48,Woman
11988,Mike,White,58,Man
11989,John,Lee,48,Man
11990,Lucy,Martinez,54,Man
11991,John,Martinez,52,Woman
11992,Anna,Smith,42,Man
11993,Sam,White,34,Woman
11994,Lucy,Johnson,44,Man
11995,Sam,Lee,25,Woman
11996,Sam,White,53,Man
11997,Emma,Johnson,50,Man
11998,Anna,Smith,24,Woman
11999,Chris,Smith,18,Man
12000,Lucy,Johnson,33,Woman
12001,Sam,Jones,28,Woman
12002,Anna,Smith,33,Woman
12003,Jane,Jones,55,Woman
12004,Jane,Johnson,38,Woman
12005,Chris,Johnson,57,Man
12006,Linda,Doe,55,Woman
12007,Chris,Martinez,20,Man
12008,Sam,Martinez,58,Man
12009,Linda,Martinez,48,Man
12010,Emma,Taylor,56,Man
12011,John,Johnson,35,Woman
12012,Sam,Taylor,27,Woman
12013,Mike,Doe,31,Woman
12014,Tom,Brown,28,Woman
12015,Mike,Smith,60,Woman
12016,Mike,Doe,21,Woman
12017,John,Lee,33,Man
12018,John,Doe,46,Woman
12019,Linda,Martinez,54,Woman
12020,Tom,White,30,Woman
12021,Sam,Lee,54,Woman
12022,Linda,Brown,22,Man
12023,Emma,Brown,32,Man
12024,Linda,Garcia,44,Woman
12025,Linda,Brown,41,Woman
12026,Emma,Johnson,21,Woman
12027,Sam,White,27,Woman
12028,Emma,Brown,48,Man
12029,Tom,Garcia,45,Man
12030,Linda,Martinez,55,Man
12031,John,Taylor,22,Man
12032,Chris,Doe,55,Woman
12033,John,Martinez,31,Man
12034,Jane,Martinez,22,Man
12035,Chris,Smith,43,Man
12036,Anna,Lee,44,Man
12037,Sam,Lee,19,Man
12038,Lucy,Martinez,59,Man
12039,Jane,Lee,34,Woman
12040,Jane,Smith,50,Woman
12041,Linda,Smith,60,Man
12042,Tom,Brown,30,Woman
12043,Linda,Garcia,55,Man
12044,Anna,Doe,45,Woman
12045,Lucy,Jones,44,Woman
12046,Mike,Garcia,54,Man
12047,Chris,Jones,48,Man
12048,Linda,Brown,60,Man
12049,John,White,44,Woman
12050,John,Lee,31,Woman
12051,Chris,Lee,29,Woman
12052,Linda,Lee,37,Woman
12053,Mike,Martinez,43,Man
12054,Tom,Martinez,26,Woman
12055,Mike,White,57,Man
12056,Lucy,Garcia,37,Man
12057,Linda,Doe,51,Man
12058,Jane,Smith,57,Man
12059,Lucy,Taylor,23,Man
12060,Lucy,Jones,32,Man
12061,Linda,Doe,20,Woman
12062,Anna,Brown,34,Man
12063,Sam,Garcia,23,Woman
12064,Linda,Smith,44,Woman
12065,Jane,Johnson,34,Man
12066,Tom,Smith,39,Woman
12067,Sam,Johnson,40,Woman
12068,Lucy,Jones,48,Man
12069,Tom,Martinez,52,Man
12070,Mike,Smith,25,Man
12071,John,Martinez,44,Man
12072,Lucy,White,32,Woman
12073,Lucy,Taylor,32,Man
12074,Sam,Brown,18,Man
12075,Mike,White,44,Man
12076,Linda,Garcia,26,Woman
12077,Anna,Lee,49,Man
12078,Tom,Jones,43,Woman
12079,Emma,Johnson,39,Woman
12080,Sam,White,18,Man
12081,Lucy,Smith,43,Woman
12082,Anna,Jones,24,Woman
12083,Linda,Garcia,30,Woman
12084,Emma,White,22,Man
12085,John,White,25,Woman
12086,Tom,Martinez,39,Woman
12087,Lucy,Brown,32,Woman
12088,Tom,Martinez,23,Man
12089,Chris,Martinez,52,Man
12090,Sam,Lee,46,Man
12091,Tom,Martinez,19,Man
12092,Linda,Brown,40,Man
12093,Emma,Brown,25,Man
12094,Tom,Taylor,51,Woman
12095,Sam,Smith,54,Woman
12096,Tom,Jones,56,Woman
12097,Emma,White,58,Woman
12098,Linda,Johnson,34,Man
12099,Chris,Martinez,44,Woman
12100,Emma,Smith,36,Man
12101,Sam,Taylor,46,Man
12102,Chris,Johnson,34,Man
12103,Jane,Martinez,22,Man
12104,Linda,Taylor,23,Man
12105,Anna,Smith,45,Woman
12106,John,Johnson,26,Woman
12107,Linda,Garcia,22,Man
12108,Lucy,Smith,25,Man
12109,Sam,White,47,Woman
12110,John,Jones,39,Woman
12111,Chris,Jones,57,Woman
12112,John,Johnson,51,Man
12113,Anna,White,53,Woman
12114,Sam,Johnson,29,Man
12115,Tom,White,27,Man
12116,Anna,Smith,32,Woman
12117,Linda,Taylor,52,Woman
12118,Emma,Taylor,19,Man
12119,Chris,Doe,40,Woman
12120,Tom,Taylor,33,Man
12121,John,Taylor,24,Man
12122,John,Lee,57,Man
12123,Tom,Martinez,59,Man
12124,Anna,Smith,26,Woman
12125,Anna,Taylor,58,Woman
12126,Lucy,Lee,39,Man
12127,Anna,Johnson,24,Man
12128,John,Garcia,19,Man
12129,Chris,Doe,24,Woman
12130,Jane,Martinez,45,Man
12131,John,Garcia,28,Man
12132,Emma,Brown,27,Man
12133,Tom,Doe,49,Woman
12134,Emma,Smith,29,Woman
12135,Emma,Smith,50,Woman
12136,Chris,Garcia,24,Woman
12137,Tom,Brown,22,Man
12138,Emma,Smith,27,Man
12139,Mike,Martinez,32,Man
12140,John,Smith,18,Man
12141,Emma,Brown,39,Man
12142,Sam,Martinez,32,Woman
12143,Tom,Lee,54,Man
12144,Mike,Johnson,32,Woman
12145,Emma,Brown,43,Man
12146,Lucy,Smith,30,Man
12147,Jane,Lee,32,Woman
12148,John,Lee,53,Woman
12149,Sam,Johnson,29,Man
12150,Anna,Johnson,43,Man
12151,Jane,Taylor,43,Woman
12152,Sam,Brown,57,Woman
12153,Sam,Brown,22,Man
12154,Anna,Lee,19,Man
12155,Linda,Johnson,48,Man
12156,Mike,White,53,Man
12157,Tom,Brown,44,Man
12158,Jane,White,60,Woman
12159,John,Martinez,22,Man
12160,Linda,Taylor,44,Man
12161,Emma,Smith,46,Woman
12162,John,Jones,30,Woman
12163,Sam,Jones,51,Man
12164,Anna,Martinez,30,Man
12165,John,Doe,49,Man
12166,Emma,Jones,51,Woman
12167,John,Garcia,42,Man
12168,Mike,Taylor,24,Woman
12169,Linda,Lee,27,Woman
12170,Mike,Taylor,50,Woman
12171,Anna,Brown,26,Woman
12172,Mike,Lee,40,Man
12173,Tom,White,58,Man
12174,Linda,Smith,20,Man
12175,Linda,Lee,54,Man
12176,Linda,Jones,59,Man
12177,Jane,Lee,41,Woman
12178,Tom,Lee,50,Man
12179,Lucy,Lee,33,Man
12180,Emma,Lee,33,Woman
12181,Tom,Martinez,48,Woman
12182,Lucy,Martinez,39,Man
12183,Sam,Johnson,45,Man
12184,Linda,Jones,35,Man
12185,Sam,Doe,23,Man
12186,Tom,Brown,55,Woman
12187,Tom,White,57,Woman
12188,Tom,Lee,59,Man
12189,Mike,Taylor,22,Man
12190,Sam,Lee,28,Woman
12191,Tom,Johnson,46,Man
12192,Sam,Doe,60,Woman
12193,Sam,Jones,39,Man
12194,Sam,Garcia,51,Man
12195,Emma,Johnson,50,Woman
12196,Jane,Martinez,35,Woman
12197,Jane,Doe,21,Man
12198,Mike,Garcia,34,Woman
12199,Lucy,Garcia,24,Man
12200,Chris,White,44,Man
12201,Chris,Doe,23,Woman
12202,Emma,Smith,19,Woman
12203,John,Doe,58,Man
12204,Chris,White,24,Man
12205,Lucy,Lee,40,Man
12206,Chris,Taylor,40,Woman
12207,Jane,Lee,24,Man
12208,Sam,Brown,28,Woman
12209,Jane,Lee,21,Woman
12210,Linda,Martinez,23,Woman
12211,Lucy,White,18,Woman
12212,Emma,Garcia,40,Woman
12213,Linda,Martinez,44,Woman
12214,Tom,Johnson,27,Woman
12215,Jane,Lee,35,Man
12216,John,Doe,50,Man
12217,Jane,Garcia,35,Man
12218,Linda,Doe,38,Woman
12219,Mike,Doe,59,Man
12220,Chris,Doe,54,Woman
12221,Tom,Johnson,31,Man
12222,Lucy,Lee,60,Woman
12223,Mike,Jones,51,Man
12224,Jane,Johnson,30,Woman
12225,Lucy,Johnson,50,Man
12226,Linda,Martinez,49,Woman
12227,Tom,Garcia,35,Man
12228,Linda,Johnson,50,Woman
12229,Linda,Johnson,41,Woman
12230,Sam,Garcia,40,Man
12231,Jane,Garcia,25,Man
12232,Linda,Jones,30,Woman
12233,Jane,Martinez,39,Woman
12234,Lucy,White,21,Woman
12235,Jane,Doe,58,Woman
12236,Jane,White,24,Woman
12237,Lucy,Johnson,22,Man
12238,Chris,Smith,37,Woman
12239,Mike,Doe,37,Man
12240,Emma,Doe,43,Man
12241,Linda,Doe,22,Woman
12242,Lucy,Taylor,26,Woman
12243,John,Lee,38,Man
12244,Jane,Johnson,45,Woman
12245,Anna,Martinez,42,Man
12246,Jane,Lee,25,Woman
12247,Sam,Martinez,49,Woman
12248,Linda,Taylor,51,Man
12249,Tom,White,38,Man
12250,Linda,Taylor,49,Woman
12251,Emma,Smith,52,Man
12252,Mike,Smith,45,Man
12253,Chris,Taylor,52,Man
12254,Sam,Doe,51,Woman
12255,Anna,Martinez,24,Man
12256,Mike,Smith,30,Man
12257,Mike,Johnson,36,Man
12258,Chris,Taylor,26,Man
12259,Mike,Lee,39,Man
12260,Jane,Garcia,29,Man
12261,Jane,Johnson,53,Man
12262,John,Taylor,45,Woman
12263,Lucy,Taylor,33,Woman
12264,Anna,Jones,49,Man
12265,Tom,Smith,51,Man
12266,Emma,Johnson,44,Woman
12267,Jane,Lee,46,Woman
12268,Lucy,Martinez,36,Man
12269,Lucy,White,60,Woman
12270,Anna,Garcia,38,Man
12271,Anna,Brown,46,Woman
12272,Chris,Brown,35,Man
